"Puzzle","BruteForce","DepthFirst","BitWise","NakedSingles","HiddenSingles","NSSearch","HSSearch"
"300000100000000000100004000403700000010980302000000000201000870054601900070003401",374.1413,3.3612,133.5085,49.5178,11.7704,104,88
"500072810000000000000546007003080001081000073290034650000000900004000060000000000",3.642,40.35,1.0536,39.0862,22.1381,145,145
"000000709456000000000103056000005890005708010000014005530002900000009000008000000",0.1221,3.4274,0.0513,80.0976,20.5888,270,131
"008006000000030800301850006897000000004000090003008000000009102000020087000507009",0.3273,1.5903,0.105,51.5825,24.2098,82,137
"000030000708001000000060080607300400009000005010000000005000140980100007102070059",18.109,3.587,6.2829,32.783,15.2596,122,93
"700003021003910070020006000000090012000420000000008300000200030050030000004087050",8.2597,0.7635,2.9287,24.7826,24.0707,63,90
"000600010007800000000400620300040090070019000108006050000160080000080006000750040",3.2666,9.2866,1.2059,21.9724,17.3274,75,84
"000056009150000004000030000012005800000980002800000060500000008643000001078500000",0.0885,0.4255,0.0198,33.1073,20.2084,102,100
"123000000050080003080000056000060800065009010007004000031600000000000000070031640",0.0367,0.4195,0.0186,69.148,17.5528,164,101
"050600810020000005010000607000000190000008063000003000006300900030086700001700006",0.1684,6.2847,0.0668,35.9424,23.329,65,108
"100000000000080120089000406010000090005000000800204000531000970640900030900001000",0.0306,0.9449,0.0167,75.3074,18.1596,186,108
"004010080510007004080004000041005000605870040000000060000400003070090025060000000",0.0348,50.1499,0.0188,73.8682,21.3265,385,146
"060000000000210060000060000000090300400100007002500004000401230000008100158300079",259.9378,89.6952,86.8073,26.8637,11.3656,139,80
"800590001504300076020800000000405200080003000000900000000100000600030100030608400",2.4216,6.6293,0.7776,22.0601,22.1318,64,137
"002067009500001200080000000423000001005349000006700000000800000900100005031000008",0.0755,0.3701,0.0323,42.7449,17.5688,99,97
"060700091000090504000004080000409010009000600000600900002000006010002800300016009",0.1626,31.3183,0.0608,23.4178,26.3375,64,149
"050000000730000500201500080000000300409070806080006402000093000000100600000820900",1.879,72.5291,0.6862,15.0034,18.7531,56,127
"000038201408000600000000000005000900020009700000702000000004160984000007102050040",391.7327,69.9583,140.7366,18.7824,23.2597,71,138
"600000090000000000090000480048060310530800000002034000007000008060000034104350000",133.7045,231.2636,47.0307,20.2654,20.5732,79,128
"000027009007000430009030600060040791074200060000000000703000000040003076000050000",0.6211,0.4891,0.2306,19.1918,24.3884,56,92
"200400000406900023080100000020000697540000008608300045000000800000000000900002001",0.0359,0.3361,0.0186,27.9794,14.5685,59,85
"700800000800201005920005000007030402000002300300007650000000204050300000000000570",3.6817,20.6587,1.1069,62.0634,23.0977,217,137
"054730200000001004000004003500000018009000600000005000300040100980002400040900030",9.9699,29.5598,3.2728,41.8482,21.2537,197,138
"300000000000000300009040067000410008010900003090000000001050000806132950002084000",94.8216,871.0527,31.8662,14.1977,13.4449,61,83
"234060000501007000000200056005000007400009305090000000100053000600098000000700003",0.2923,36.9606,0.1077,15.4251,28.7848,61,155
"005000000000198405019405000000000500000000062008206004700000906001004000040503000",34.2173,1910.3348,11.3999,26.6163,18.9994,106,116
"400000800620000043000043700708059001000010000200000900806034000040000000000005038",0.0808,15.1592,0.035,31.1128,14.9688,86,86
"020400000000907020709100400004000000360008004007000300031042908000079000008000000",0.0296,0.7495,0.0167,77.1035,18.576,213,111
"000000300650003080000907004800700210040002006210000000500460002060200070000000060",1.3042,0.2669,0.4356,28.8028,15.9891,94,94
"007000000054103900000000600000700010005000896200800705570060000000001070030009008",133.4811,807.3124,46.1609,15.9727,14.515,68,87
"040000000002100000000006007000720698680000070090000104030000002020907050960000080",7.1174,65.8286,2.553,14.5472,13.0196,69,83
"000040000000010070320806054000094003090031000200000000960400000000000507050920008",6.0805,56.2283,2.1942,22.3925,16.8868,104,118
"097050000004103007320987000086700000000000000000000740009000000468300500000009008",160.5044,32.1161,58.3064,972.8678,25.4922,4053,147
"300067100567190000000000007003406700000000300090300006020000005000005000070040023",0.0371,6.72,0.0192,42.5284,15.515,163,98
"000004321590301000300000004009000003005203000000007500000600030030159000002008000",2.224,18.5968,0.7878,45.0153,16.8276,158,114
"000000201000019060200000080007082000400000806003900470045600020070100000000000045",3.0485,3.8189,1.1085,24.2533,25.374,73,156
"000000000038120064201000700000002000420003005183070000005006020000001400300040000",86.562,575.9499,31.3834,43.7646,28.7719,184,176
"000009021040100800000070004005004210004000000200700040900450000400000508100008090",2.3221,113.1357,0.8589,18.4692,17.4977,68,95
"900050320000320907000900600000005200000000000203006700500000030000002509130000068",0.15,1250.1483,0.0581,26.3635,14.9756,105,87
"000050000004013000020007000980502003500000790010700060008420000000070000145300000",0.2255,33.2403,0.0641,22.016,12.289,76,88
"564000000708000000200004003050400010400300000000000072000090027970000638000020040",0.8074,130.0652,0.2954,58.688,30.4864,265,192
"500302010302001000000006320000008000000000230290005060705219000020000000000800100",3.911,30.474,1.0451,26.9981,13.9162,85,86
